State,Privacy,Count,Lat,Lon
ACT,PUBLIC,4,-35.4735,149.0124
ACT,PRIVATE,19,-35.4735,149.0124
NSW,PUBLIC,219,-31.2532,146.9211
NSW,PRIVATE,208,-31.2532,146.9211
NT,PUBLIC,6,-19.4914,132.5509
NT,PRIVATE,3,-19.4914,132.5509
QLD,PUBLIC,122,-20.9176,142.7028
QLD,PRIVATE,124,-20.9176,142.7028
SA,PUBLIC,73,-30.0002,136.2092
SA,PRIVATE,51,-30.0002,136.2092
TAS,PUBLIC,23,-41.4545,145.9707
TAS,PRIVATE,18,-41.4545,145.9707
VIC,PUBLIC,165,-37.4713,144.7852
VIC,PRIVATE,154,-37.4713,144.7852
WA,PUBLIC,87,-25.0423,117.7932
WA,PRIVATE,56,-25.0423,117.7932
