Status,State,Name,Hospital Provider Number,Street Address,Suburb,Postcode,Second-tier Eligible (Yes/No),Second-tier Expiry Date,"Second-tier Category",Circular,"The Commonwealth Minister for Health, or delegate, has declared the facility to be a neo-natal facility, consistent with Section 3(2) of the Health Insurance Act 1973. (This column is not complete and is still being populated)"
PRIVATE,WA,ABBOTSFORD PRIVATE HOSPITAL,0075130L,61-69 CAMBRIDGE STREET,WEST LEEDERVILLE,6007,YES,04-04-28,"A - private hospitals that provide psychiatric care, including treatment of addictions, for at least 50% of the episodes of hospital treatment, and do not fall into category (g)",PHI 32/19;15/21; 18/23; 33/25; 45/25,
PRIVATE,ACT,ACT DAY HOSPITAL,0095150Y,37/39 GEILS COURT,DEAKIN,2600,YES,15-12-26,G - private hospitals that provide episodes of hospital treatment only for periods of not more than 24 hours,PHI 32/25; 42/25,
PRIVATE,ACT,ACT ENDOSCOPY,0097040K,2/70 KENT STREET,DEAKIN,2600,YES,05-07-26,G - private hospitals that provide episodes of hospital treatment only for periods of not more than 24 hours,PHI 32/19; 30/22; 34/24,
PRIVATE,SA,ADELAIDE AMBULATORY DAY SURGERY,0067240H,"SUITES 10A, 50 HUTT STREET",ADELAIDE,5000,YES,27-01-27,G - private hospitals that provide episodes of hospital treatment only for periods of not more than 24 hours,PHI 17/19; 85/19; 03/20; 80/22; 01/24; 02/24,
PRIVATE,SA,ADELAIDE DAY SURGERY,0658181F,18 NORTH TERRACE,ADELAIDE,5000,YES,08-01-26,G - private hospitals that provide episodes of hospital treatment only for periods of not more than 24 hours,PHI 32/19; 87/21; 79/23,
PRIVATE,SA,ADELAIDE SURGICENTRE,0999771L,89 KING WILLIAM ST,KENT TOWN,5067,YES,07-02-27,G - private hospitals that provide episodes of hospital treatment only for periods of not more than 24 hours,PHI 10/20; 14/23; 11/24,
PRIVATE,VIC,ADENEY PRIVATE HOSPITAL,0037140T,209 COTHAM ROAD,KEW,3101,YES,12-11-26,"D - private hospitals that do not fall into categories (a), (b) or (g), with more than 50 licensed beds and up to and including 100 licensed beds",PHI 14/25; 45/25;,
PUBLIC,NSW,ADOLESCENT AND YOUNG ADULT HOSPICE (AYAH),0012920T,150 DARLEY ROAD,MANLY,2095,NO,,,PHI 54/23,
PUBLIC,VIC,ADULT PREVENTION & RECOVERY CARE (A-PARC),0032140K,1 BEACH STREET,FRANKSTON,3199,NO,,,,
PRIVATE,SA,ADVANCED ORAL AND MAXILLOFACIAL SURGERY,0067310J,238 ANGAS STREET,ADELAIDE,5000,YES,10-12-27,G - private hospitals that provide episodes of hospital treatment only for periods of not more than 24 hours,PHI  26/21; 81/21; 94/24,
PRIVATE,NSW,AESTHETIC DAY SURGERY,0896271A,14 KENSINGTON STREET,KOGARAH,2217,YES,31-05-27,G - private hospitals that provide episodes of hospital treatment only for periods of not more than 24 hours,PHI 62/20; 16/22; 31/24,
PRIVATE,WA,ALBANY COMMUNITY HOSPICE,0075520Y,30 WARDEN AVE,ALBANY,6330,YES,04-12-27,"C - private hospitals that do not fall into categories (a), (b) or (g), with up to and including 50 licensed beds",PHI 43/19; 66/20; 70/20; 16/22; 82/24,
PRIVATE,WA,ALBANY DAY HOSPITAL,0077290B,6 LUBICH WAY,MIRA MAR,6330,YES,07-05-27,G - private hospitals that provide episodes of hospital treatment only for periods of not more than 24 hours,PHI 36/19; 43/19; 05/21; 15/21; 23/24,
PUBLIC,WA,ALBANY HOSPITAL,0070050J,WARDEN AVENUE,ALBANY,6330,NO,,,,
PRIVATE,NSW,ALBURY DAY SURGERY,0657791J,4 BAKER COURT,ALBURY,2640,NO,16-04-24,G - private hospitals that provide episodes of hospital treatment only for periods of not more than 24 hours,PHI 26/19; 22/20; 23/23; 56/24,
PUBLIC,NSW,ALBURY WODONGA HEALTH - ALBURY CAMPUS,0010560W,201 BORELLA ROAD,ALBURY,2640,NO,,,,
PUBLIC,VIC,ALBURY WODONGA HEALTH - WODONGA CAMPUS,0031390A,69 VERMONT STREET,WODONGA,3690,NO,,,,
PRIVATE,NSW,ALBURY WODONGA PRIVATE HOSPITAL,0016960X,1125 PEMBERTON STREET,ALBURY,2640,YES,27-10-25,"D - private hospitals that do not fall into categories (a), (b) or (g), with more than 50 licensed beds and up to and including 100 licensed beds",PHI 32/20; 73/21; 77/22,
PUBLIC,TAS,ALCOHOL AND DRUG SERVICES,0080470W,"CARRUTHERS BUILDING, ST JOHNS AVENUE",NEWTOWN ,7008,NO,,,PHI 29/24,
PUBLIC,VIC,ALEXANDRA DISTRICT HOSPITAL,0030010T,20 COOPER STREET,ALEXANDRA,3714,NO,,,,
PRIVATE,NSW,ALEXANDRIA SPECIALIST DAY HOSPITAL,0027000Y,15 BOWDEN STREET,ALEXANDRIA,2015,NO,29-07-25,G - private hospitals that provide episodes of hospital treatment only for periods of not more than 24 hours,PHI 50/18; 43/19; 32/21; 50/24; 65/25,
PUBLIC,NT,ALICE SPRINGS HOSPITAL,0095020J,6 GAP ROAD,ALICE SPRINGS,870,NO,,,,
